ABANDON_AMBITION_INTERACTION_ACCEPT_LOG;§Y[Recipient.GetBestName]§! ended [Recipient.GetPossPronoun] plot to [Recipient.GetPlot].;;;;;;;;;;;§Y[Recipient.GetBestName]§W ïðåêðàòèë[Recipient.GetEndA] ñâîé çàãîâîð: §Y[Recipient.GetPlot]§W.;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_2B;Propose that §Y[ActorExtra.GetTitledFirstName]§! and §Y[RecipientExtra.GetTitledFirstName]§! get betrothed matrilineally. As the relative of a $MYPARTYTIER$, §Y$MYPARTY$§! and you would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§! and $PRESTIGE2$ from marrying the relative of a $THEIRPARTYTIER$.;;;;;;;;;;;Ïðåäëîæèòü ìàòðèëèíåéíóþ ïîìîëâêó. §Y[ActorExtra.GetTitledFirstName]§W è §Y[RecipientExtra.GetTitledFirstName]§W ñòàíóò ïðåêðàñíîé ïàðîé. Êàê ðîäñòâåííè[ActorExtra.GetTsaK] îáëàäàòåëÿ òèòóëà $MYPARTYTIER$, §Y$MYPARTY$§W âìåñòå ñ Âàìè ïîëó÷èò $PRESTIGE$ ïðåñòèæà îò áðàêà ñ ïðåñòàâèòåë[RecipientExtra.GetSoftNitseyEm] ðîäà §Y[RecipientExtra.GetOnlyDynastyName]§W è $PRESTIGE2$ ïðåñòèæà îò áðàêà ñ ðîäñòâåííèêîì îáëàäàòåëÿ òèòóëà $THEIRPARTYTIER$.;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_2C;Propose that §Y[ActorExtra.GetTitledFirstName]§! and §Y[RecipientExtra.GetTitledFirstName]§! get betrothed matrilineally. As a $MYPARTYTIER$, §Y$MYPARTY$§! would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§! and $PRESTIGE2$ from marrying the relative of a $THEIRPARTYTIER$.;;;;;;;;;;;Ïðåäëîæèòü ìàòðèëèíåéíóþ ïîìîëâêó. §Y[ActorExtra.GetTitledFirstName]§W è §Y[RecipientExtra.GetTitledFirstName]§W ñòàíóò ïðåêðàñíîé ïàðîé. Êàê îáëàäàòåëü[ActorExtra.GetEndNitsa] òèòóëà $MYPARTYTIER$, §Y$MYPARTY$§W ïîëó÷èò $PRESTIGE$ ïðåñòèæà îò áðàêà ñ ïðåñòàâèòåë[RecipientExtra.GetSoftNitseyEm] ðîäà §Y[RecipientExtra.GetOnlyDynastyName]§W è $PRESTIGE2$ ïðåñòèæà îò áðàêà ñ ðîäñòâåííè[RecipientExtra.GetTseyKom] îáëàäàòåëÿ òèòóëà $THEIRPARTYTIER$.;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_2D;Propose that §Y[ActorExtra.GetTitledFirstName]§! and §Y[RecipientExtra.GetTitledFirstName]§! get betrothed matrilineally. As a $MYPARTYTIER$, §Y$MYPARTY$§! and you would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§! and $PRESTIGE2$ from marrying the relative of a $THEIRPARTYTIER$.;;;;;;;;;;;Ïðåäëîæèòü ìàòðèëèíåéíóþ ïîìîëâêó. §Y[ActorExtra.GetTitledFirstName]§W è §Y[RecipientExtra.GetTitledFirstName]§W ñòàíóò ïðåêðàñíîé ïàðîé. Êàê îáëàäàòåëü[ActorExtra.GetEndNitsa] òèòóëà $MYPARTYTIER$, §Y$MYPARTY$§W âìåñòå ñ Âàìè ïîëó÷èò $PRESTIGE$ ïðåñòèæà îò áðàêà ñ ïðåñòàâèòåë[RecipientExtra.GetSoftNitseyEm] ðîäà §Y[RecipientExtra.GetOnlyDynastyName]§W è $PRESTIGE2$ ïðåñòèæà îò áðàêà ñ ðîäñòâåííè[RecipientExtra.GetTseyKom] îáëàäàòåëÿ òèòóëà $THEIRPARTYTIER$.;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_2E;Propose that §Y[ActorExtra.GetTitledFirstName]§! and §Y[RecipientExtra.GetTitledFirstName]§! get betrothed matrilineally. As the relative of a $MYPARTYTIER$, §Y$MYPARTY$§! would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§! and $PRESTIGE2$ from marrying a $THEIRPARTYTIER$.;;;;;;;;;;;Ïðåäëîæèòü ìàòðèëèíåéíóþ ïîìîëâêó. §Y[ActorExtra.GetTitledFirstName]§W è §Y[RecipientExtra.GetTitledFirstName]§W ñòàíóò ïðåêðàñíîé ïàðîé. Êàê ðîäñòâåííè[ActorExtra.GetTsaK] îáëàäàòåëÿ òèòóëà $MYPARTYTIER$, §Y$MYPARTY$§W ïîëó÷èò $PRESTIGE$ ïðåñòèæà îò áðàêà ñ ïðåñòàâèòåë[RecipientExtra.GetSoftNitseyEm] ðîäà §Y[RecipientExtra.GetOnlyDynastyName]§W è $PRESTIGE2$ ïðåñòèæà îò áðàêà ñ îáëàäàòåë[RecipientExtra.GetSoftNitseyEm] òèòóëà $THEIRPARTYTIER$.;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_2F;Propose that §Y[ActorExtra.GetTitledFirstName]§! and §Y[RecipientExtra.GetTitledFirstName]§! get betrothed matrilineally. As the relative of a $MYPARTYTIER$, §Y$MYPARTY$§! and you would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§! and $PRESTIGE2$ from marrying a $THEIRPARTYTIER$.;;;;;;;;;;;Ïðåäëîæèòü ìàòðèëèíåéíóþ ïîìîëâêó. §Y[ActorExtra.GetTitledFirstName]§W è §Y[RecipientExtra.GetTitledFirstName]§W ñòàíóò ïðåêðàñíîé ïàðîé. Êàê ðîäñòâåííè[ActorExtra.GetTsaK] îáëàäàòåëÿ òèòóëà $MYPARTYTIER$, §Y$MYPARTY$§W âìåñòå ñ Âàìè ïîëó÷èò $PRESTIGE$ ïðåñòèæà îò áðàêà ñ ïðåñòàâèòåë[RecipientExtra.GetSoftNitseyEm] ðîäà §Y[RecipientExtra.GetOnlyDynastyName]§W è $PRESTIGE2$ ïðåñòèæà îò áðàêà ñ îáëàäàòåë[RecipientExtra.GetSoftNitseyEm] òèòóëà $THEIRPARTYTIER$.;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_2G;Propose that §Y[ActorExtra.GetTitledFirstName]§! and §Y[RecipientExtra.GetTitledFirstName]§! get betrothed matrilineally. As a $MYPARTYTIER$, §Y$MYPARTY$§! would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§! and $PRESTIGE2$ from marrying a $THEIRPARTYTIER$.;;;;;;;;;;;Ïðåäëîæèòü ìàòðèëèíåéíóþ ïîìîëâêó. §Y[ActorExtra.GetTitledFirstName]§W è §Y[RecipientExtra.GetTitledFirstName]§W ñòàíóò ïðåêðàñíîé ïàðîé. Êàê îáëàäàòåëü[ActorExtra.GetEndNitsa] òèòóëà $MYPARTYTIER$, §Y$MYPARTY$§W ïîëó÷èò $PRESTIGE$ ïðåñòèæà îò áðàêà ñ ïðåñòàâèòåë[RecipientExtra.GetSoftNitseyEm] ðîäà §Y[RecipientExtra.GetOnlyDynastyName]§W è $PRESTIGE2$ ïðåñòèæà îò áðàêà ñ îáëàäàòåë[RecipientExtra.GetSoftNitseyEm] òèòóëà $THEIRPARTYTIER$.;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_2H;Propose that §Y[ActorExtra.GetTitledFirstName]§! and §Y[RecipientExtra.GetTitledFirstName]§! get betrothed matrilineally. As a $MYPARTYTIER$, §Y$MYPARTY$§! and you would gain $PRESTIGE$ prestige from marrying into §YHouse [RecipientExtra.GetOnlyDynastyName]§! and $PRESTIGE2$ from marrying a $THEIRPARTYTIER$.;;;;;;;;;;;Ïðåäëîæèòü ìàòðèëèíåéíóþ ïîìîëâêó. §Y[ActorExtra.GetTitledFirstName]§W è §Y[RecipientExtra.GetTitledFirstName]§W ñòàíóò ïðåêðàñíîé ïàðîé. Êàê îáëàäàòåëü[ActorExtra.GetEndNitsa] òèòóëà $MYPARTYTIER$, §Y$MYPARTY$§W âìåñòå ñ Âàìè ïîëó÷èò $PRESTIGE$ ïðåñòèæà îò áðàêà ñ ïðåñòàâèòåë[RecipientExtra.GetSoftNitseyEm] ðîäà §Y[RecipientExtra.GetOnlyDynastyName]§W è $PRESTIGE2$ ïðåñòèæà îò áðàêà ñ îáëàäàòåë[RecipientExtra.GetSoftNitseyEm] òèòóëà $THEIRPARTYTIER$.;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_3;§RChildren born to the couple will not be of your Dynasty - consider a regular marriage!§!;;;;;;;;;;;§RÄåòè ðîæä¸ííûå îò ýòîé ïàðû íå áóäóò ïðèíàäëåæàòü ê Âàøåé äèíàñòèè - ðàññìîòðèòå âîçìîæíîñòü îáû÷íîé ïîìîëâêè!§!;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_ACCEPT_LOG;§Y[Recipient.GetBestName]§! accepts the suggestion by §Y[Actor.GetBestName]§! that §Y[ActorExtra.GetBestName]§! and §Y[RecipientExtra.GetBestName]§! should get betrothed matrilineally;;;;;;;;;;;§Y[Recipient.GetBestName]§W ïðèíÿë[Recipient.GetEndA] ïðåäëîæåíèå î ìàòðèëèíåéíîé ïîìîëâêå îò ÷åëîâåêà ïî èìåíè §Y[Actor.GetBestName]§W, §Y[ActorExtra.GetBestName]§W è §Y[RecipientExtra.GetBestName]§W ñòàíóò ïðåêðàñíîé ïàðîé.;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_ACCEPT_SETUP;Matrilineal Betrothal Offer Accepted;;;;;;;;;;;Ïðåäëîæåíèå ìàòðèëèíåéíîé ïîìîëâêè ïðèíÿòî;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_DECLINE_LOG;§Y[Recipient.GetBestName]§! declines the suggestion by §Y[Actor.GetBestName]§! that §Y[ActorExtra.GetBestName]§! and §Y[RecipientExtra.GetBestName]§! should get betrothed matrilineally;;;;;;;;;;;§Y[Recipient.GetBestName]§W îòêëîíèë[Recipient.GetEndA] ïðåäëîæåíèå î ìàòðèëèíåéíîé ïîìîëâêå îò ÷åëîâåêà ïî èìåíè §Y[Actor.GetBestName]§W, çàÿâèâ, ÷òî §Y[ActorExtra.GetBestName]§W è §Y[RecipientExtra.GetBestName]§W íå ïîäõîäÿò äðóã äðóãó.;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_DECLINE_SETUP;Matrilineal Betrothal Offer Declined;;;;;;;;;;;Ïðåäëîæåíèå ìàòðèëèíåéíîé ïîìîëâêè îòêëîíåíî;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_DESC;Arrange a Matrilineal Betrothal between two characters;;;;;;;;;;;Ïðåäëîæèòü êàíäèäàòîâ íà ìàòðèëèíåéíóþ ïîìîëâêó;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_LETTER;We propose that [ActorExtra.GetBestName] and [RecipientExtra.GetBestName] should get betrothed matrilineally.;;;;;;;;;;;Ìû õîòèì ïðåäëîæèòü Âàì ìàòðèëèíåéíóþ ïîìîëâêó. [ActorExtra.GetBestName] è [RecipientExtra.GetBestName] ñòàíóò ïðåêðàñíîé ïàðîé.;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_LONG_DESC;While children are not allowed to marry, they can get betrothed. The betrothal will last until the characters get married, one of them should die, or it is explicitly broken.;;;;;;;;;;;Äåòè íå ìîãóò âñòóïàòü â áðàê, îäíàêî îíè ìîãóò äîãîâîðèòüñÿ î ïîìîëâêå, êîòîðàÿ áóäåò äåéñòâîâàòü ïîêà îíè íå âñòóïÿò â áðàê, îäèí èç íèõ íå óìð¸ò, èëè ïîêà íå áóäåò ðàñòîðãíóòà.;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_OFFER;[Actor.GetBestName] proposes that [ActorExtra.GetBestName] and [RecipientExtra.GetBestName] should get betrothed matrilineally;;;;;;;;;;;[Actor.GetBestName] ïðåäëàãàåò ìàòðèëèíåéíóþ ïîìîëâêó, óòâåðæäàÿ, ÷òî [ActorExtra.GetBestName] è [RecipientExtra.GetBestName] ñòàíóò ïðåêðàñíîé ïàðîé.;;x
ARRANGE_SUCC_BETROTHAL_INTERACTION_TITLE;Arrange Matrilineal Betrothal;;;;;;;;;;;Îðãàíèçîâàòü ìàòðèëèíåéíóþ ïîìîëâêó;;x
ASK_COUNCIL_POSITION_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§! used a favor on §Y[Recipient.GetBestName]§! to get the $POSITION|Y$ position$FIRED$;;;;;;;;;;;§Y[Actor.GetTitledFirstNameWithNick]§! âîñïîëüçîâà[Actor.GetLasLsya] òåì, ÷òî §Y[Recipient.GetTitledFirstNameWithNick]§! - [Actor.GetHersHis] äîëæíè[Recipient.GetTsaK], ÷òîáû ïîëó÷èòü ìåñòî â ñîâåòå.;;x
ASK_COUNCIL_POSITION_INTERACTION_ACCEPT_SETUP;Accepting Council Position request;;;;;;;;;;;Ïðîñüáà î ìåñòå â ñîâåòå óäîâëåòâîðåíà;;x
ASK_COUNCIL_POSITION_INTERACTION_DESC;Spend a §YFavor§! to demand a §YCouncil§! position from your liege.;;;;;;;;;;;Íàïîìíèòü ñþçåðåíó îá §Yóñëóãå§! è ïîïðîñèòü ïîñò â §Yñîâåòå§!.;;x
ASK_COUNCIL_POSITION_INTERACTION_LETTER;\nTo return the favor you owe me, I request you give me my rightful position on your council.;;;;;;;;;;;\nÏðèøëî âðåìÿ äëÿ îòâåòíîé óñëóãè ñ Âàøåé ñòîðîíû - ÿ õî÷ó ïîñò â ñîâåòå.;;x
ASK_COUNCIL_POSITION_INTERACTION_LETTER_GET;\nIn return for the favor you owe me, give me a position on your council.;;;;;;;;;;;\nÄàéòå ìíå ïîñò â ñîâåòå.;;x
ASK_COUNCIL_POSITION_INTERACTION_LONG_DESC;You can spend the §YFavor§! §Y[Recipient.GetTitledFirstName]§! owes you to force them to give you a position on the §YCouncil§!.;;;;;;;;;;;§Y[Recipient.GetTitledFirstName]§! ïåðåä Âàìè â äîëó è â êà÷åñòâå §Yóñëóãè§! ñ [Recipient.GetHersHis] ñòîðîíû, Âû ìîæåòå ïîïðîñèòü ó í[Recipient.GetHersHis] ïîñò â §Yñîâåòå§!.;;x
ASK_COUNCIL_POSITION_INTERACTION_TITLE;Demand Council Position;;;;;;;;;;;Ïîòðåáîâàòü ïîñò â ñîâåòå;;x
ASK_FOR_CLAIM_DISABLED;§RCannot Request a Claim§!\n(§RX§!) A valid title must be available;;;;;;;;;;;§RÍåëüçÿ ïðîñèòü î ïðåòåíçèè§!\n(§RX§!) Òèòóë äîëæåí áûòü äîñòóïåí;;x
ASK_FOR_CLAIM_HEADER;§YRequest a Claim§!;;;;;;;;;;;§YÏîïðîñèòü ïðåòåíçèþ íà òèòóë§!;;x
ASK_FOR_CLAIM_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§! has received a strong claim on §Y[ThirdPartyTitle.GetFullName]§! from §Y[Recipient.GetBestName]§!;;;;;;;;;;;§Y[Actor.GetBestName]§! ïîëó÷èë[Actor.GetEndA] ñèëüíóþ ïðåòåíçèþ íà òèòóë çåìëè, èçâåñòíîé êàê §Y[ThirdPartyTitle.GetFullName]§!, êîòîðóþ äàðîâàë[Recipient.GetEndA] [Actor.GetHerHim] §Y[Recipient.GetBestName]§!;;x
ASK_FOR_CLAIM_INTERACTION_ACCEPT_SETUP;Request for Claim was Accepted;;;;;;;;;;;Ïðîøåíèå î ïðåòåíçèè ïðèíÿòî;;x
ASK_FOR_CLAIM_INTERACTION_DECLINE_LOG;§Y[Recipient.GetBestName]§! has declined a request for a strong claim on §Y[ThirdPartyTitle.GetFullName]§! by §Y[Actor.GetBestName]§!;;;;;;;;;;;§Y[Recipient.GetBestName]§! îòêàçà[Recipient.GetLasLsya] äàðîâàòü ñèëüíóþ ïðåòåíçèþ íà òèòóë çåìëè, èçâåñòíîé êàê §Y[ThirdPartyTitle.GetFullName]§! ïðàâèòåëþ ïî èìåíè §Y[Actor.GetBestName]§!;;x
ASK_FOR_CLAIM_INTERACTION_DECLINE_SETUP;Request for Claim was Declined;;;;;;;;;;;Ïðîøåíèå î äàðîâàíèè ñèëüíîé ïðåòåíçèè îòêëîíåíî;;x
ASK_FOR_CLAIM_INTERACTION_DESC;Ask §Y[Actor.RelHead.GetTitledFirstName]§! to grant you a claim on the title of §Y[ThirdPartyTitle.GetFullName]§!. This will cost you §R[GetPietyCost]§! [Player.Religion.GetPietyName].;;;;;;;;;;;Ïîïðîñèòü, ÷òîáû §Y[Actor.RelHead.GetTitledFirstName]§! äàðîâàë ïðåòåíçèþ íà òèòóë çåìëè, èçâåñòíîé êàê §Y[ThirdPartyTitle.GetFullName]§!. Âû ïîòðàòèòå §R[GetPietyCost]§! î÷êîâ áëàãî÷åñòèÿ.;;x
ASK_FOR_CLAIM_INTERACTION_LONG_DESC;The head of a religion can grant you a strong claim on a duke or count rank title. However, the very act of asking will cost you [Player.Religion.GetPietyName].;;;;;;;;;;;Ãëàâà Öåðêâè ìîæåò äàðîâàòü ñèëüíóþ ïðåòåíçèþ íà òèòóë ãåðöîãñêîãî èëè ãðàôñêîãî óðîâíÿ. Îäíàêî, ïîäîáíîå ïðîøåíèå áóäåò ñòîèòü Âàì î÷êîâ áëàãî÷åñòèÿ.;;x
ASK_FOR_CLAIM_INTERACTION_TITLE;Request Claim;;;;;;;;;;;Ïîïðîñèòü ïðåòåíçèþ;;x
ASK_FOR_CLAIM_TT_DESC;Ask the [Root.RelHead.GetTitle] to grant you a §YClaim§! on a title held by a fellow [Root.Religion.GetName] ruler by spending a set amount of §YPiety§!.\nThe [Root.RelHead.GetTitle] will only consider requests on §YDuchies§! and §YCounties§!.;;;;;;;;;;;Ïîïðîñèòü, ÷òîáû [Root.RelHead.GetTitle] äàðîâàë[Root.RelHead.GetEndA] Âàì §Yïðåòåíçèþ§! íà òèòóë, êîòîðûì îáëàäàåò ïðàâèòåëü-[Root.GetReligionAdherent_M], è ïîòðàòèòü íà ýòî î÷êè §Yáëàãî÷åñòèÿ§!.\n[Root.RelHead.GetTitle] êàê ïðàâèëî ðàññìàòðèâàåò ïðåòåíçèè òîëüêî íà §Yãðàôñòâà§! è §Yãåðöîãñòâà§!.;;x
ASK_FOR_CRUSADE_INTERACTION_DESC;Ask §Y[Actor.RelHead.GetTitledFirstName]§! to launch a [Actor.Religion.GetCrusadeName]. This will cost you [Player.Religion.GetPietyName].;;;;;;;;;;;§Y[Actor.RelHead.GetTitledFirstName]§W ïîëó÷èò ïðîøåíèå ïðîâîçãëàñèòü [Actor.Religion.GetCrusadeName] (Âû ïîòðàòèòå î÷êè áëàãî÷åñòèÿ).;;x
ASK_FOR_CRUSADE_INTERACTION_LONG_DESC;The head of a religion can start a [Actor.Religion.GetCrusadeName] at your request. However, the very act of asking will cost you [Player.Religion.GetPietyName].;;;;;;;;;;;Ãëàâà Öåðêâè ìîæåò íà÷àòü ñâÿùåííóþ âîéíó ïî Âàøåé ïðîñüáå. Îäíàêî, ïîäîáíîå ïðîøåíèå áóäåò ñòîèòü Âàì î÷êîâ áëàãî÷åñòèÿ.;;x
ASK_FOR_CRUSADE_INTERACTION_TITLE;Request Crusade;;;;;;;;;;;Ñâÿùåííàÿ âîéíà;;x
ASK_FOR_DIVORCE_DISABLED_HEADER;§RCannot Request a Divorce§!;;;;;;;;;;;§RÍåëüçÿ ïðîñèòü ðàçâîä§!;;x
ASK_FOR_DIVORCE_HEADER;§YRequest a Divorce§!;;;;;;;;;;;§YÏîïðîñèòü ðàçâîä§!;;x
ASK_FOR_DIVORCE_INTERACTION_0;Ask §Y[Actor.RelHead.GetTitledFirstName]§! for a divorce from §Y[Actor.Spouse.GetFirstName]§!. This will cost you §R$COST$§! [Player.Religion.GetPietyName] and, if granted, will be viewed as an insult by [Actor.Spouse.GetPossPronoun] relatives.;;;;;;;;;;;Ïðîñèòü, ÷òîáû §Y[Actor.RelHead.GetTitledFirstName]§W ðàçðåøèë[Actor.RelHead.GetEndA] ðàçâîä, òîãäà Âû è §Y[Actor.Spouse.GetFirstName]§W ñìîæåòå ðàñòîðãíóòü áðàê. Ýòî áóäåò ñòîèòü Âàì §R$COST$§W áëàãî÷åñòèÿ, è, â ñëó÷àå óñïåõà, ñåðü¸çíî îñêîðáèò [Actor.Spouse.GetAbsPossPronoun] ðîäñòâåííèêîâ.;;x
ASK_FOR_DIVORCE_INTERACTION_1;Divorcing §Y[Actor.Spouse.GetFirstName]§! will cost you §R$COST$§! Prestige.;;;;;;;;;;;§Y[Actor.Spouse.GetFirstName]§W, â ñëó÷àå ðàçâîäà, îáîéä¸òñÿ Âàì â §R$COST$§W î÷êîâ ïðåñòèæà.;;x
ASK_FOR_DIVORCE_INTERACTION_2;Ask §Y[Actor.RelHead.GetTitledFirstName]§! for a divorce from §Y[Actor.Spouse.GetFirstName]§!. This will cost you [Player.Religion.GetPietyName] and, if granted, will be viewed as an insult by [Actor.Spouse.GetPossPronoun] relatives. Fidelity and fertility of the spouse tend to be the main factors in determining the willingness of the [Actor.RelHead.GetTitle] to take such requests in consideration.;;;;;;;;;;;§Y[Actor.RelHead.GetTitledFirstName]§W ïîëó÷èò Âàøå ïðîøåíèå î ðàçâîäå ñî ñâî[Actor.Spouse.GetEyIm] [Actor.Spouse.GetHusbandWifeINS]. §Y[Player.Religion.GetPietyName]§W ñíèçèòñÿ, è, åñëè ïðîñüáà áóäåò óäîâëåòâîðåíà, ýòî áóäåò âîñïðèíÿòî êàê îñêîðáëåíèå äëÿ [Actor.Spouse.GetAbsPossPronoun] ðîäñòâåííèêîâ. Âåðíîñòü è ïëîäîâèòîñòü [Actor.Spouse.GetHusbandWifeGEN] - ãëàâíûå ôàêòîðû, âëèÿþùèå íà ýòî ðåøåíèå.;;x
ASK_FOR_DIVORCE_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§! divorced §Y[Actor.Spouse.GetBestName]§!;;;;;;;;;;;§Y[Actor.GetBestName]§W è §Y[Actor.Spouse.GetBestName]§W ðàçâåëèñü.;;x
ASK_FOR_DIVORCE_INTERACTION_ACCEPT_SETUP;Divorce Request Granted;;;;;;;;;;;Ðàçâîä ðàçðåø¸í;;x
ASK_FOR_DIVORCE_INTERACTION_DECLINE_LOG;§Y[Actor.GetBestName]§! was declined to divorce §Y[Actor.Spouse.GetBestName]§!;;;;;;;;;;;§Y[Actor.GetBestName]§W íå ïîëó÷èë[Actor.GetEndA] ðàçðåøåíèÿ íà ðàçâîä.;;x
ASK_FOR_DIVORCE_INTERACTION_DECLINE_SETUP;Divorce Request Denied;;;;;;;;;;;Ðàçâîä íå áûë ðàçðåø¸í;;x
ASK_FOR_DIVORCE_INTERACTION_DESC;Ask §Y[Actor.RelHead.GetTitledFirstName]§! for a divorce from §Y[Actor.Spouse.GetFirstName]§!. This will cost you [Player.Religion.GetPietyName] and, if granted, will be viewed as an insult by [Actor.Spouse.GetPossPronoun] relatives.;;;;;;;;;;;Ñïðîñèòü, ðàçðåøèò ëè §Y[Actor.RelHead.GetTitledFirstName]§W, ÷òîáû Âû è §Y[Actor.Spouse.GetFirstName]§W ìîãëè ðàçâåñòèñü. Ïðîøåíèå óìåíüøèò Âàøå áëàãî÷åñòèå è, åñëè ðàçâîä áóäåò ðàçðåø¸í, [Actor.Spouse.GetFirstName] âîñïðèìåò ýòî, êàê îñêîðáëåíèå.;;x
ASK_FOR_DIVORCE_INTERACTION_LETTER;We humbly ask for your permission to divorce [Actor.Spouse.GetBestName];;;;;;;;;;;ß ïîêîðíåéøå ïðîøó ðàçðåøåíèÿ íà ðàçâîä. [Actor.Spouse.GetBestName] áîëåå íå óñòðàèâàåò ìåíÿ.;;x
ASK_FOR_DIVORCE_INTERACTION_LONG_DESC;The head of a religion can grant rulers [Actor.RelHead.GetSheHe] likes enough a divorce. However, the very act of asking will cost you [Player.Religion.GetPietyName].;;;;;;;;;;;Ãëàâà ðåëèãèè ìîæåò äàðîâàòü ïðàâèòåëþ, êîòîðûé [Actor.RelHead.GetHerHim] óãîäåí, ïðàâî íà ðàçâîä. Êîíå÷íî, ïîäîáíûé ïîñòóïîê óìåíüøèò áëàãî÷åñòèå.;;x
ASK_FOR_DIVORCE_INTERACTION_OFFER;[Actor.GetBestName] wants to divorce [Actor.Spouse.GetBestName];;;;;;;;;;;[Actor.GetBestName] õî÷åò ðàçâåñòèñü. Èíòåðåñíî, ÷òî äóìàåò îá ýòîì [Actor.Spouse.GetBestName]?;;x
ASK_FOR_DIVORCE_INTERACTION_TITLE;Request Divorce;;;;;;;;;;;Ïîïðîñèòü ðàçâîä;;x
ASK_FOR_DIVORCE_NEEDS_LIVING_SPOUSE;(§RX§!) Must be Married;;;;;;;;;;;(§RX§!) Íóæíî ñîñòîÿòü â áðàêå;;x
ASK_FOR_DIVORCE_TT_DESC;Ask the [Root.RelHead.GetTitle] to divorce you from your spouse by spending a set amount of §YPiety§! and §YPrestige§!.;;;;;;;;;;;Ïîïðîñèòü, ÷òîáû [Root.RelHead.GetTitle] äàðîâàë[Root.RelHead.GetEndA] Âàì ïðàâî íà ðàçâîä. Ýòî áóäåò ñòîèòü Âàì î÷êîâ §Yáëàãî÷åñòèÿ§! è §Yïðåñòèæà§!.;;x
