EVTTITLE23212;The Legend of [Root.GetFirstNameWithNick];;;;;;;;;;;Ëåãåíäà î [Root.GetFirstNameWithNick];;x
EVTDESCAHF23220;With attackers coming from both land and sea, the defenders of [FromFrom.GetName] are unable to divide their attention between our assaults. My raiders are able to slip through their palisades and kill many of them before being repelled.;;;;;;;;;;;Ïîñêîëüêó àòàêóþùèå èäóò êàê ñ ñóøè, òàê è ñ ìîðÿ, çàùèòíèêè [FromFrom.GetName] íå ìîãóò ðàçäåëèòü ñâî¸ âíèìàíèå ìåæäó íàøèìè àòàêàìè. Ìîèì ðåéäåðàì óäàëîñü ïðîñêîëüçíóòü ÷åðåç ÷àñòîêîë è óáèòü ìíîãèõ èç íèõ, ïðåæäå ÷åì èõ îòáðîñèëè.;;x
EVTDESCAHF23221;Unfortunately, dividing my men between land and sea proved to be a bad decision. The defenders of [FromFrom.GetName] were able to repel our assault before we could cause any significant damage.;;;;;;;;;;;Ê ñîæàëåíèþ, ðàçäåëåíèå ìîèõ ëþäåé íà ñóõîïóòíûõ è ìîðñêèõ îêàçàëîñü ïëîõèì ðåøåíèåì. Çàùèòíèêè [FromFrom.GetName] ñìîãëè îòáèòü íàøå íàïàäåíèå, ïðåæäå ÷åì ìû ñìîãëè íàíåñòè çíà÷èòåëüíûé óùåðá.;;x
EVTDESCAHF23222;With just a few robes and some well-placed bribes, I was able to sneak inside [FromFrom.GetName] with a few veteran warriors. Now that the priests are busy tending to their rites, we have the perfect opportunity to raid this temple.;;;;;;;;;;;Ñ ïîìîùüþ íåñêîëüêèõ ðÿñ è óäà÷íûå âçÿòîê ÿ ñìîã[Root.GetNoneE] ïðîáðàòüñÿ âíóòðü [FromFrom.GetName] ñ íåñêîëüêèìè âîèíàìè-âåòåðàíàìè. Òåïåðü, êîãäà ñâÿùåííèêè çàíÿòû ñâîèìè îáðÿäàìè, ó íàñ åñòü ïðåêðàñíàÿ âîçìîæíîñòü ñîâåðøèòü íàáåã íà ýòîò õðàì.;;x
EVTDESCAHF23223;Unfortunately, the priests were able to see through our disguise. While their attempt to capture us failed miserably, when we returned to the camp to bring the news to the rest of the band, the other raiders were not happy to see we had returned empty-handed.;;;;;;;;;;;Ê ñîæàëåíèþ, ñâÿùåííèêè ñìîãëè ðàçîáëà÷èòü íàøó ìàñêèðîâêó. Õîòÿ èõ ïîïûòêà ïëåíèòü íàñ ïðîâàëèëàñü, êîãäà ìû âåðíóëèñü â ëàãåðü, ÷òîáû ñîîáùèòü íîâîñòü îñòàëüíûì ÷ëåíàì áàíäû, äðóãèå íàë¸ò÷èêè íå îáðàäîâàëèñü, óâèäåâ, ÷òî ìû ïðèøëè ñ ïóñòûìè ðóêàìè.;;x
EVTDESCAHF23224;Convincing the guards to let me through might have not been my most dignified moment, but the trick worked. I was able to slip past their defenses and open the gates to the rest of my men, who quickly rushed inside. We killed many of [FromFrom.GetName]'s defenders before being forced to retreat.;;;;;;;;;;;Óáåäèòü ñòðàæíèêîâ ïðîïóñòèòü ìåíÿ, âîçìîæíî, áûëî íå ñàìûì äîñòîéíûì ìîìåíòîì, íî óëîâêà ñðàáîòàëà. Ìíå óäàëîñü ïðîñêîëüçíóòü ÷åðåç èõ îáîðîíó è îòêðûòü âîðîòà äëÿ îñòàëüíûõ ìîèõ âîèíîâ, êîòîðûå áûñòðî âîðâàëèñü âíóòðü. Ìû óáèëè ìíîãèõ çàùèòíèêîâ [FromFrom.GetName], ïðåæäå ÷åì âûíóæäåíû áûëè îòñòóïèòü.;;x
EVTDESCAHF23225;Unfortunately, I was unable to convince the guards to let me through. After a while, I was forced to leave entirely before risking to raise their suspicions too much.;;;;;;;;;;;Ê ñîæàëåíèþ, ìíå íå óäàëîñü óáåäèòü ñòðàæíèêîâ ïðîïóñòèòü ìåíÿ. ×åðåç íåêîòîðîå âðåìÿ ÿ áûë[Root.GetEndA] âûíóæäåí[Root.GetEndA] ïîëíîñòüþ îòñòóïèòü, íå ðèñêóÿ âûçâàòü ó íèõ ñëèøêîì ñèëüíûå ïîäîçðåíèÿ.;;x
EVTDESCAHF23226;My raiders scattered through the countryside, pillaging the villages and farms nearby [FromFrom.GetName] and returning at nightfall to our camp, their bags filled with food and other loot.;;;;;;;;;;;Ìîè ðåéäåðû ðàññåÿëèñü ïî ñåëüñêîé ìåñòíîñòè, ãðàáÿ äåðåâíè è ôåðìû ïîáëèçîñòè ñ [FromFrom.GetName] è ñ íàñòóïëåíèåì òåìíîòû âåðíóëèñü â íàø ëàãåðü ñ ñóìêàìè, íàïîëíåííûìè åäîé è äðóãîé äîáû÷åé.;;x
EVTDESCAHF23227;Unfortunately, my raiders returned to the camp empty-handed. Apparently they were unable to find anything of substance in the farms around [FromFrom.GetName].;;;;;;;;;;;Ê ñîæàëåíèþ, ìîè ðåéäåðû âåðíóëèñü â ëàãåðü ñ ïóñòûìè ðóêàìè. Î÷åâèäíî, îíè íå ñìîãëè íàéòè íè÷åãî ïîëåçíîãî íà ôåðìàõ âîêðóã [FromFrom.GetName].;;x
EVTDESCAHF23400;After having consulted with some of the world's most respected diviners and having analyzed sightings from several realms, I have come to the conclusion that we are entering into a new prosperous age. \nThe skies are clear, the weather is stable, and the stars have aligned favorably, ensuring stability, abundance and overall good luck throughout the land.\nBeing the [Root.GetTitle], it is my duty to spread the good news to all the great [Root.Religion.GetName] rulers.;;;;;;;;;;;Ïîñîâåòîâàâøèñü ñ íåêîòîðûìè èç ñàìûõ óâàæàåìûõ â ìèðå ïðîðèöàòåëåé è ïðî÷èòàâ îò÷¸òû î íàáëþäåíèÿõ èç íåñêîëüêèõ âëàäåíèé, ÿ ïðèõîæó ê âûâîäó, ÷òî ìû âñòóïàåì â íîâóþ ýïîõó ïðîöâåòàíèÿ. \nÍåáî ÿñíîå, ïîãîäà õîðîøàÿ, à çâ¸çäû ñîøëèñü â áëàãîïðèÿòíîì ñâåòå, ãàðàíòèðóÿ ñòàáèëüíîñòü, èçîáèëèå è îáùóþ óäà÷ó âî âñåõ çåìëÿõ.\nÁóäó÷è [Root.GetTitle], ÿ îáÿçàí[Root.GetEndA] äîíåñòè áëàãóþ âåñòü äî âñåõ âåëèêèõ ïðàâèòåëåé, èñïîâåäóþùèõ âåðó [Root.Religion.GetName].;;x
EVTDESCAHF23401;We have just received news from [From.PrimaryTitle.GetName]. A most revered congregation of diviners under the leadership of our [From.GetTitle] have analyzed the stars and many prodigious heavenly sightings happening all over the world in the past months, and have reached the conclusion that a period of unbridled prosperity is upon us.\nThe skies are clear, the weather is stable, and the stars have aligned favorably, ensuring stability, abundance and overall good luck throughout the land.;;;;;;;;;;;Ìû òîëüêî ÷òî ïîëó÷èëè íîâîñòè îò [From.PrimaryTitle.GetName]. Íàèáîëåå ïî÷èòàåìàÿ ãðóïïà ïðîðèöàòåëåé ïîä ðóêîâîäñòâîì íàøå[From.GetYGo] [From.GetTitle] ïðîàíàëèçèðîâàëà çâ¸çäû è ìíîæåñòâî óäèâèòåëüíûõ íåáåñíûõ ÿâëåíèé, ïðîèçîøåäøèõ ïî âñåìó ìèðó çà ïîñëåäíèå ìåñÿöû, è ïðèøëà ê âûâîäó, ÷òî íàñ æä¸ò ïåðèîä áåçóäåðæíîãî ïðîöâåòàíèÿ. \nÍåáî ÷èñòîå, ïîãîäà ñòàáèëüíàÿ, çâ¸çäû ñëîæèëèñü óäà÷íî, ãàðàíòèðóÿ ñòàáèëüíîñòü, èçîáèëèå è îáùóþ óäà÷ó íà âñåé çåìëå.;;x
EVTDESCAHF23402;It looked like such a clear, sunny day... Yet, just as I stepped outside of my palace, a sudden flash of light enveloped me, sending shivers down my spine and filling my ears with an unsettling ringing.;;;;;;;;;;;Ýòî áûë òàêîé ÿñíûé, ñîëíå÷íûé äåíü... Íî êàê òîëüêî ÿ âûø[Root.GetLaYol] èç ñâîåãî äâîðöà, âíåçàïíàÿ âñïûøêà ñâåòà îêóòàëà ìåíÿ, ïî ñïèíå ïîáåæàëè ìóðàøêè, à â óøàõ ðàçäàëñÿ òðåâîæíûé çâîí.;;x
EVTDESCAHF23403;The most disturbing news is spreading through the realm. Our revered [From.GetTitledFirstName] has recently died, struck by lightning during a sunny day. \nPeople are clamoring that this is surely a sign of divine wrath towards [From.PrimaryTitle.GetName].;;;;;;;;;;;Î÷åíü òðåâîæíûå íîâîñòè ðàñïðîñòðàíÿþòñÿ ïî ãîñóäàðñòâó. Íàø[From.GetEndA] ïî÷èòàåì[From.GetAyaYy] [From.GetTitledFirstName] íåäàâíî óìåð[From.GetNoneE] îò óäàðà ìîëíèè â ñîëíå÷íûé äåíü. \nËþäè ãîâîðÿò, ÷òî ýòî, íåñîìíåííî, çíàê áîæåñòâåííîãî ãíåâà ïî îòíîøåíèþ ê [From.PrimaryTitle.GetName].;;x
EVTDESCAHF23404;After spending the last year scrutinizing the stars, looking for divine signs, I am confident that the realm is about to enter a period of prosperity and stability. I should inform my liege about my findings.;;;;;;;;;;;Ïîòðàòèâ ïîñëåäíèé ãîä íà èçó÷åíèå çâ¸çä â ïîèñêàõ áîæåñòâåííûõ çíàêîâ, ÿ óâåðåí[Root.GetEndA], ÷òî íàøà ñòðàíà âîò-âîò âñòóïèò â ïåðèîä ïðîöâåòàíèÿ è ñòàáèëüíîñòè. Ìíå íóæíî ñîîáùèòü ñâîåìó ñþçåðåíó îá ýòèõ âûâîäàõ.;;x
EVTDESCAHF23405;[From.GetTitledFirstName] informed me that, after a careful analysis of the celestial bodies, [From.GetSheHe] has come to the conclusion that our realm is favored by the stars and is about to enter a period of prosperity and good luck.;;;;;;;;;;;[From.GetTitledFirstName] ñîîáùàåò ìíå, ÷òî ïîñëå òùàòåëüíîãî èçó÷åíèÿ íåáåñíûõ òåë [From.GetSheHe] ïðèø[From.GetLaYol] ê âûâîäó, ÷òî íàøå ãîñóäàðñòâî íàõîäèòñÿ ïîä ïîêðîâèòåëüñòâîì çâ¸çä è âîò-âîò âñòóïèò â ïåðèîä ïðîöâåòàíèÿ è óäà÷è.;;x
EVTDESCAHF23406;It looked like such a clear, sunny day... Yet, just as I stepped outside of my palace, a sudden flash of light enveloped me, sending shivers down my spine and filling my ears with an unsettling ringing.;;;;;;;;;;;Ýòî áûë òàêîé ÿñíûé, ñîëíå÷íûé äåíü... Íî êàê òîëüêî ÿ âûø[Root.GetLaYol] èç ñâîåãî äâîðöà, âíåçàïíàÿ âñïûøêà ñâåòà îêóòàëà ìåíÿ, ïî ñïèíå ïîáåæàëè ìóðàøêè, à â óøàõ ðàçäàëñÿ òðåâîæíûé çâîí.;;x
EVTDESCAHF23411;[From.GetTitledFirstName] was a notable and prestigious [From.GetManWoman]. My priests are of the opinion that performing a divination on [From.GetHerHis] very entrails would yield much more accurate results than on any other lesser creature.;;;;;;;;;;;[From.GetTitledFirstName] áûë[From.GetEndA] çíàòí[From.GetOyYm] è ïðåñòèæí[From.GetOyYm] [From.GetManWoman]îé. Ìîè æðåöû ñ÷èòàþò, ÷òî ãàäàíèå íà ñàìèõ [From.GetHerHis] âíóòðåííîñòÿõ äàñò ãîðàçäî áîëåå òî÷íûå ðåçóëüòàòû, ÷åì íà âíóòðåííîñòÿõ ëþáîãî äðóãîãî ìåíüøåãî ñóùåñòâà.;;x
EVTDESCAHF23412;The flesh of [FromFrom.GetTitledFirstName] filled me with unearthly strength. As I consumed [FromFrom.GetHerHis] entrails, the gods sent me a prophetic vision, assuring me of a great victory in the near future.;;;;;;;;;;;Ïëîòü [FromFrom.GetTitledFirstName] íàïîëíèëà ìåíÿ íåçåìíîé ñèëîé. Ïîêà ÿ ïîãëîùàë[Root.GetEndA] [FromFrom.GetHerHis] âíóòðåííîñòè, áîãè ïîñëàëè ìíå ïðîðî÷åñêîå âèäåíèå, ñîîáùèâ ÷òî ìåíÿ æä¸ò âåëèêàÿ ïîáåäà â áëèæàéøåì áóäóùåì.;;x
EVTDESCAHF23413;Although [FromFrom.GetTitledFirstName]'s flesh did not grant me any greater insight on the future of my realm, it did give me solace from my recent sickness. Clearly, the gods wished me to consume it in order to regain my health.;;;;;;;;;;;Õîòÿ ïëîòü [FromFrom.GetTitledFirstName] íå äàëà ìíå áîëåå ãëóáîêîãî ïîíèìàíèÿ î áóäóùåì ìîèõ âëàäåíèé, îíà äàðîâàëà ìíå óòåøåíèå â ìîåé íåäàâíåé áîëåçíè. Î÷åâèäíî, áîãè õîòåëè, ÷òîáû ÿ ñúåë[Root.GetEndA] å¸, ÷òîáû âîññòàíîâèòü ñâî¸ çäîðîâüå.;;x
EVTDESCAHF23414;Although [FromFrom.GetTitledFirstName]'s flesh did not grant me any greater insight on the future of my realm, it cleared my mind and awakened my body. Clearly, the gods wished me to consume it in order to regain my health.;;;;;;;;;;;Õîòÿ ïëîòü [FromFrom.GetTitledFirstName] íå äàëà ìíå áîëåå ãëóáîêîãî ïîíèìàíèÿ î áóäóùåì ìîèõ âëàäåíèé, îíà î÷èñòèëà ìîé ðàçóì è âçáîäðèëà ìî¸ òåëî. Âèäèìî, áîãè õîòåëè, ÷òîáû ÿ ñúåë[Root.GetEndA] å¸, ÷òîáû âîññòàíîâèòü ñâî¸ çäîðîâüå.;;x
EVTDESCAHF23415;Unfortunately, consuming my enemy's entrails did not allow me to hear the voice of the gods. It is [FromFrom.GetTitledFirstName] who started speaking instead. [FromFrom.GetHerHisCap] vengeful spirit has taken place within my head, tormenting me with [FromFrom.GetHerHis] incessant yelling.;;;;;;;;;;;Ê ñîæàëåíèþ, ïîåäàíèå âíóòðåííîñòåé ìîåãî âðàãà íå ïîçâîëèëî ìíå óñëûøàòü ãîëîñ áîãîâ. Âìåñòî íèõ çàãîâîðèë[From.GetEndA] [FromFrom.GetTitledFirstName]. [FromFrom.GetHerHisCap] ìñòèòåëüíûé äóõ âñåëèëñÿ â ìîþ ãîëîâó, ìó÷àÿ ìåíÿ ñâîèìè íåïðåêðàùàþùèìñÿ âîïëÿìè.;;x
EVTDESCAHF23416;The diviners rummage intently through [FromFrom.GetTitledFirstName]'s entrails for about an hour, soiling the temple's floor with blood and gastric fluids, while I supervise them from a safe distance. Their final verdict is that a great military victory is in store in my near future.;;;;;;;;;;;Ïðîðèöàòåëè òùàòåëüíî êîïàþòñÿ â êèøêàõ [FromFrom.GetTitledFirstName] îêîëî ÷àñà, ïà÷êàÿ ïîë õðàìà êðîâüþ è æåëóäî÷íîé æèäêîñòüþ, à ÿ íàáëþäàþ çà íèìè ñ áåçîïàñíîãî ðàññòîÿíèÿ. Èõ îêîí÷àòåëüíûé âåðäèêò òàêîâ: â áëèæàéøåì áóäóùåì ìåíÿ îæèäàåò âåëèêàÿ âîåííàÿ ïîáåäà.;;x
EVTDESCAHF23417;The diviners rummage intently through [FromFrom.GetTitledFirstName]'s entrails for about an hour, soiling the temple's floor with blood and gastric fluids, while I supervise them from a safe distance. Little by little, they are able to read the names of several people who wish me ill and are plotting against me.;;;;;;;;;;;Ïðîðèöàòåëè, îêîëî ÷àñà, òùàòåëüíî ðîþòñÿ âî âíóòðåííîñòÿõ [FromFrom.GetTitledFirstName], ïà÷êàÿ ïîë õðàìà êðîâüþ è æåëóäî÷íîé æèäêîñòüþ, à ÿ íàáëþäàþ çà íèìè ñ áåçîïàñíîãî ðàññòîÿíèÿ. Ïîñòåïåííî îíè ñìîãëè ïðî÷åñòü èìåíà íåñêîëüêèõ ëþäåé, êîòîðûå æåëàþò ìíå çëà è çàìûøëÿþò çàãîâîð ïðîòèâ ìåíÿ.;;x
EVTDESCAHF23418;The diviners rummage intently through [FromFrom.GetTitledFirstName]'s entrails for about an hour, soiling the temple's floor with blood and gastric fluids, while I supervise them from a safe distance. Little by little, they are able to read several secrets held by my enemies through the knotted remains of the dead [FromFrom.GetManWoman].;;;;;;;;;;;Ïðîðèöàòåëè, îêîëî ÷àñà, ñîñðåäîòî÷åííî ðîþòñÿ âî âíóòðåííîñòÿõ [FromFrom.GetTitledFirstName], ïà÷êàÿ ïîë õðàìà êðîâüþ è æåëóäî÷íîé æèäêîñòüþ, à ÿ íàáëþäàþ çà íèìè ñ áåçîïàñíîãî ðàññòîÿíèÿ. Ìàëî-ïîìàëó îíè ñìîãëè ïðî÷åñòü íåñêîëüêî ñåêðåòîâ, õðàíÿùèõñÿ ó ìîèõ âðàãîâ, ïî óçëîâàòûì îñòàíêàì òðóïà [FromFrom.GetManWoman]û.;;x
EVTDESCAHF23419;The diviners rummage intently through [FromFrom.GetTitledFirstName]'s entrails for about an hour, soiling the temple's floor with blood and gastric fluids, while I supervise them from a safe distance. Their final verdict is that the gods were very satisfied by [FromFrom.GetFirstName]'s death and will reward my realm with prosperity and good luck.;;;;;;;;;;;Ïðîðèöàòåëè, îêîëî ÷àñà òùàòåëüíî êîïàþòñÿ â êèøêàõ [FromFrom.GetTitledFirstName], ïà÷êàÿ ïîë õðàìà êðîâüþ è æåëóäî÷íîé æèäêîñòüþ, à ÿ íàáëþäàþ çà íèìè ñ áåçîïàñíîãî ðàññòîÿíèÿ. Èõ îêîí÷àòåëüíûé âåðäèêò òàêîâ: áîãè áûëè î÷åíü äîâîëüíû ñìåðòüþ [FromFrom.GetFirstName] è âîçíàãðàäÿò ìîè âëàäåíèÿ ïðîöâåòàíèåì è óäà÷åé.;;x
